file,bytes,sha256,supports
admissibility_detector_validation__detector_leave_one_seed_summary.csv,543,0efa5dd0cbd79c3850ad960dcda482c78fbe9d634c8032aa9758ccef9d219609,Fig S1c
direct_floor_atlas_seed19__direct_floor_critical.csv,519,4181e0edc8a4963e05cb31599a6c21f0138ba1f82e75468a4851533ac178af4d,"Sec 4.2, Fig 4c, Fig S1"
direct_floor_conditioning__direct_floor_conditioning.csv,23299,b7c1fb1ec847c2c050d18d9ef74fabf0f9e861f4d49137f104a4a0c085b11f77,"Sec 4.2, Fig 4a,b"
fixed_precond_control_bridge__prospective_summary.csv,2158,39379e360f3002399449f96a77bc6b466e43edd58452c9d4aaf9cfe580c0d91e,"Sec 4.5.3, Table 11"
fixed_precond_control_cantilever__prospective_summary.csv,4172,f3eec5dabcb2c013f6fff5fcd028c7c99a60a3f9a5a96e89291dddd3bb67b5ba,"Sec 4.5.3, Table 11"
fixed_precond_control_cantilever_adm__prospective_summary.csv,1603,61df5bc4cfc01737266fd6329381411cbcf50b687855257f4129da185c074110,"Sec 4.5.3, Table 11"
gmg_policy_overhead__gmg_policy_overhead_cases.csv,4104,eeaba2b697b1c6cba6a99dc2382d490a98b94e1171b46412beee78fe21a2fe29,"Sec 4.3.2, Fig 6b"
guarded_adaptive_trajectories__trajectory_iters.csv,23609,0ef0ea2e3d58b8afc81951ab6551918be927bbd3358fd91b67d5fba34727f1a6,"Sec 4.1.2, Fig 3"
guarded_adaptive_trajectories__trajectory_summary.csv,1211,67e47cb0b3777ed943d14c66b8af864ae4d577de07a7e48ff0e483baa29446c6,"Sec 4.1.2, Table 5"
heldout_gmg_detector_cantilever_s41_71_strict_true_residual__prospective_summary.csv,29490,d22e150fd7805d1ae170adec08b1130795350b9b51e5dc7280778d2ceb0fc9f9,Sec 4.1.1 strict replay
optimized_density_sensitivity_perturbation__optimized_density_sensitivity_perturbation.csv,6572,6a41ba39d3ae8ae10bb93a50beb66eec9b7f33a7a7055f78f3834fac35a7b878,"Sec 4.4.1, Table 8, Fig 7c"
review_experiment_summary__gmg_threshold_sensitivity_grid.csv,12465,237b796e47a408f6a9f11516d16fdb3c84977736b797b78e52c29aa591330563,"Sec 4.5.1, Fig S2"
review_experiment_summary__heldout_false_keeps.csv,2813,f3b9836248137fb1daaff6c6bb8b3583ebeadabef8901c81100b8ebef0bfcc59,"Sec 4.1.1, Table 4, Fig 2b"
review_experiment_summary__heldout_full_true_label_confusion.csv,366,8f11fb18300189d10e73770b0ced3413ce4623a4862eee3f475aed307ea87b4a,"Sec 4.3.1, Table 6, Fig 5b"
review_experiment_summary__heldout_full_true_labels_joined.csv,19642,61bd3932ed8d2c57946fdee14ce3555c537adb77d310ce17421002dd304e3809,"Sec 4.3.1, Table 6, Fig 5a"
review_experiment_summary__mechanism_ablation_summary.csv,1009,498b13588353c7f95681981c1476fcbc9aa35034c3daf29e1a7729c46d379bb6,"Sec 4.5.1, Fig 8d"
review_experiment_summary__optimized_density_strict_summary.csv,9391,1839fa360ee98707f99603f5fe7f26a4a1cc634296f6e16780f88d7fce7356de,"Sec 4.4.2, Table 9"
review_experiment_summary__original_floor_policy_sensitivity_summary.csv,605,1cc9765ff34abd5706cd70feeb460b94611abf102bd2c7f2cfe4ee2ec7a753a3,"Sec 4.5.1, Fig S4b"
review_experiment_summary__policy_baseline_comparison.csv,1668,9179697b17b7d774cde998746fcebd4e9a0bac1e84d71f93573c7e5e58aec8e4,"Sec 4.3.2, Table 7, Fig 6a"
review_experiment_summary__policy_severity_jump_baseline_combined.csv,46437,00a364a92f114f1f0e2d897cf39fa874647f84020dc4dac4187bcd95d24804a6,Sec 4.3.1 probe features
review_experiment_summary__sensitivity_perturbation_combined.csv,26209,65d8cbcdb2086ca6503d98757860d6579b30523296e5488c1b514478475e75b7,"Sec 4.4.1, Table 8, Fig 7a,b"
review_experiment_summary__simp_exponent_policy_sensitivity_summary.csv,489,2b7e6a047180b0d34335b861af9e4e9274818fb0b18f0087565268596c4a1ccd,"Sec 4.5.1, Fig S4a"
