preset,seed,solid_probability,critical_rho_min,critical_rel_residual,critical_x_norm,all_failed
cantilever_3d,7,0.1,1e-06,1.1042931217610923e-08,43295896.68385334,0
cantilever_3d,7,0.12,1e-08,9.500527563057261e-07,2821498349.829799,0
cantilever_3d,7,0.15,1e-08,3.818833153093522e-08,142918923.55251992,0
cantilever_3d,7,0.18,1e-08,2.2745811140755068e-08,77875914.15681995,0
cantilever_3d,7,0.2,1e-10,1.0951988639425866e-07,514083057.17868346,0
cantilever_3d,7,0.35,1e-12,6.758909437923617e-13,981.6442203438901,0
cantilever_3d,13,0.1,1e-08,7.202868265273481e-07,2651403200.067138,0
cantilever_3d,13,0.12,1e-08,5.150774566642049e-07,1463001576.8276403,0
cantilever_3d,13,0.15,1e-08,2.3898255798016297e-07,638280001.1509348,0
cantilever_3d,13,0.18,1e-08,1.0643066884666782e-07,250472082.3623992,0
cantilever_3d,13,0.2,1e-08,5.390168038848426e-08,141313197.07385167,0
cantilever_3d,13,0.35,1e-12,7.332314067434694e-09,573320550328.4437,0
cantilever_3d,19,0.1,1e-06,1.3284023268835951e-08,44675820.26714554,0
cantilever_3d,19,0.12,1e-06,1.2569836211458493e-08,38113713.97775455,0
cantilever_3d,19,0.15,1e-08,4.865463017780852e-07,1304958860.4850004,0
cantilever_3d,19,0.18,1e-10,3.6671302099389753e-07,6532690133.4508505,0
cantilever_3d,19,0.2,1e-10,3.3656896960937463e-07,6515516780.825594,0
cantilever_3d,19,0.35,1e-12,5.401775744501483e-13,795.057583056753,0
