preset,seed,solid_probability,rho_min,penal,lambda_min,lambda_max,kappa,kappa_times_eps,rel_residual,converged,n_free,eig_time_s
cantilever_3d,7,0.1,1e-12,4.5,3.295903827532873e-16,4.804159464576957,1.4576151841703096e+16,3.2365558770182314,0.011726244755786543,0,6552,0.2473360999720171
cantilever_3d,7,0.1,1e-10,4.5,3.1241537857546755e-14,4.804159464799174,153774743314650.03,0.034144852126749566,0.00011194596053519193,0,6552,0.2518483999883756
cantilever_3d,7,0.1,1e-08,4.5,3.121198051662598e-12,4.804159487020938,1539203667150.1382,0.0003417718701715118,1.043188049444546e-06,1,6552,0.25176619994454086
cantilever_3d,7,0.1,1e-06,4.5,3.120817371160256e-10,4.804161709198523,15393921328.412863,3.4181371796144472e-06,1.1208126870222477e-08,1,6552,0.25022109993733466
cantilever_3d,7,0.1,1e-05,4.5,3.1176834206866735e-09,4.804181910888229,1540946036.7307281,3.421587539366673e-07,1.0947855776302517e-09,1,6552,0.24813409999478608
cantilever_3d,7,0.1,0.0001,4.5,3.089229806965665e-08,4.804383935251732,155520444.75353366,3.453247571306354e-08,1.1781571258895055e-10,1,6552,0.2501536998897791
cantilever_3d,7,0.1,0.001,4.5,2.9227947313020137e-07,4.806404925976786,16444551.76582203,3.6514240000111788e-09,1.0972221068939403e-11,1,6552,0.4681576000293717
cantilever_3d,7,0.1,0.01,4.5,2.5476017920128233e-06,4.826689995777393,1894601.4290419756,4.206860258020252e-10,1.3933041971199697e-12,1,6552,0.46667260001413524
cantilever_3d,7,0.12,1e-12,4.5,3.5920424504204463e-16,4.814706079391712,1.3403811747347678e+16,2.9762440839293087,0.008679480167081881,0,6552,0.48120539996307343
cantilever_3d,7,0.12,1e-10,4.5,3.8029762986787377e-14,4.814706079614153,126603630984682.16,0.028111653224068202,9.131545003042193e-05,0,6552,0.48348940000869334
cantilever_3d,7,0.12,1e-08,4.5,3.801035024887862e-12,4.814706101858367,1266682908821.7651,0.0002812601060546183,8.647095819122497e-07,1,6552,0.4891440999926999
cantilever_3d,7,0.12,1e-06,4.5,3.800026375507229e-10,4.814708326280804,12670197126.297932,2.8133489152310912e-06,9.176063301474258e-09,1,6552,0.49462260003201663
cantilever_3d,7,0.12,1e-05,4.5,3.7914216674483256e-09,4.814728548378341,1269900573.1057906,2.819745710493461e-07,8.748155198494186e-10,1,6552,0.48742409993428737
cantilever_3d,7,0.12,0.0001,4.5,3.7241416945805455e-08,4.814930776825722,129289677.2384498,2.8708075303296398e-08,9.647498265571014e-11,1,6552,0.46912050002720207
cantilever_3d,7,0.12,0.001,4.5,3.4437634361374037e-07,4.816953808951249,13987470.098567642,3.105842271937141e-09,1.1293551156538252e-11,1,6552,0.45538409997243434
cantilever_3d,7,0.12,0.01,4.5,2.871162697118417e-06,4.837259353983068,1684773.6837894567,3.7409490700511954e-10,1.4190695571544916e-12,1,6552,0.4675332000479102
cantilever_3d,7,0.15,1e-12,4.5,1.528631879977053e-14,5.208082966048756,340702234087054.1,0.07565109296493547,0.0003470725384877197,0,6552,0.5022962000221014
cantilever_3d,7,0.15,1e-10,4.5,1.5294641521546607e-12,5.208082966243079,3405168378027.0996,0.000756099267202237,3.475544729988393e-06,0,6552,0.4816179999615997
cantilever_3d,7,0.15,1e-08,4.5,1.5270288141528903e-10,5.208082985673579,34105990256.396904,7.573051132058618e-06,3.8566305005685613e-08,1,6552,0.4887433999683708
cantilever_3d,7,0.15,1e-06,4.5,1.3629582432665221e-08,5.208084928725567,382116250.0359259,8.484685177466165e-08,4.562650573326564e-10,1,6552,0.4870871000457555
cantilever_3d,7,0.15,1e-05,4.5,7.927543837087137e-08,5.208102592909837,65696295.09388472,1.4587507889159906e-08,1.1463486711575147e-10,1,6552,0.47959429991897196
cantilever_3d,7,0.15,0.0001,4.5,1.7018571949483646e-07,5.208279242213513,30603503.382500526,6.7953428178891885e-09,3.974730745870713e-11,1,6552,0.4661180000985041
cantilever_3d,7,0.15,0.001,4.5,5.628699100945152e-07,5.210046481826957,9256217.801644618,2.055293224866221e-09,8.267342010233891e-12,1,6552,0.46465040009934455
cantilever_3d,7,0.15,0.01,4.5,3.566066095774154e-06,5.227794031399693,1465983.4930134113,3.255137255327803e-10,1.253428503823934e-12,1,6552,0.45812570000998676
cantilever_3d,7,0.18,1e-12,4.5,3.6322173176405174e-14,5.3017843195757255,145965504151600.6,0.03241085270202517,0.0002227475839476683,0,6552,0.4794840000104159
cantilever_3d,7,0.18,1e-10,4.5,3.6345109913507404e-12,5.30178431976906,1458733879849.594,0.0003239039880419612,2.1825452841346005e-06,0,6552,0.47552690003067255
cantilever_3d,7,0.18,1e-08,4.5,3.632492078767326e-10,5.301784339102835,14595446388.150084,3.2408401269612605e-06,2.3847599299772594e-08,1,6552,0.4869031000416726
cantilever_3d,7,0.18,1e-06,4.5,3.4126172174743796e-08,5.301786272480127,155358363.8191889,3.4496486516031076e-08,2.8867919177561535e-10,1,6552,0.4770499999867752
cantilever_3d,7,0.18,1e-05,4.5,1.750707706312187e-07,5.301803848713139,30283775.124753572,6.724348883214398e-09,4.137647681768368e-11,1,6552,0.48542240005917847
cantilever_3d,7,0.18,0.0001,4.5,3.3041719721993635e-07,5.301979618549054,16046318.60314427,3.5629984747363495e-09,1.3269994693768396e-11,1,6552,0.47065179992932826
cantilever_3d,7,0.18,0.001,4.5,9.236604752489767e-07,5.303738068020508,5742086.199575513,1.2749992616302192e-09,3.89986594771265e-12,1,6552,0.46804780000820756
cantilever_3d,7,0.18,0.01,4.5,4.592770540811356e-06,5.3213982120058905,1158646.65232455,2.5727123816311483e-10,1.0102264511540103e-12,1,6552,0.454635199974291
cantilever_3d,7,0.2,1e-12,4.5,1.4638374798233043e-13,5.343292378168524,36501950877863.15,0.008105061261668023,1.0979871291011576e-05,0,6552,0.6030809000367299
cantilever_3d,7,0.2,1e-10,4.5,1.4638365406931367e-11,5.34329237836861,365019742972.02094,8.105066461805886e-05,1.150561509242663e-07,1,6552,0.6250817000400275
cantilever_3d,7,0.2,1e-08,4.5,1.4636946439991032e-09,5.343292398376759,3650551308.8288875,8.105852231274663e-07,1.4378804649047484e-09,1,6552,0.5938299000263214
cantilever_3d,7,0.2,1e-06,4.5,1.4460624622414465e-07,5.343294399192448,36950647.28331415,8.204691877747673e-09,1.8467757401357116e-11,1,6552,0.6104801999172196
cantilever_3d,7,0.2,1e-05,4.5,4.6613103782275117e-07,5.343312588508326,11463112.633448256,2.5453223159051533e-09,1.2341026810267377e-11,1,6552,0.4842591999331489
cantilever_3d,7,0.2,0.0001,4.5,6.088076198109269e-07,5.343494489816208,8776983.592083981,1.9488818541377698e-09,6.6724206748308e-12,1,6552,0.4784962999401614
cantilever_3d,7,0.2,0.001,4.5,1.3300648571399962e-06,5.345314318397368,4018837.3444369156,8.923611504034569e-10,3.014326328147434e-12,1,6552,0.4818366999970749
cantilever_3d,7,0.2,0.01,4.5,5.513526754623859e-06,5.363594748494953,972806.5151759412,2.1600643833073833e-10,9.008807075135342e-13,1,6552,0.4746433000545949
cantilever_3d,7,0.35,1e-12,4.5,2.1278740366314148e-13,6.643444077139441,31221040168601.87,0.006932463529585735,7.179305499203568e-13,1,6552,0.599297899985686
cantilever_3d,7,0.35,1e-10,4.5,2.1278740070690955e-11,6.643444077252965,312210406028.8585,6.93246362601615e-05,6.786517487508436e-13,1,6552,0.6060912000248209
cantilever_3d,7,0.35,1e-08,4.5,2.1278728858610122e-09,6.643444088603172,3122105710.7060227,6.932467290679029e-07,6.595128385276337e-13,1,6552,0.6133709000423551
cantilever_3d,7,0.35,1e-06,4.5,2.1277589383932212e-07,6.643445223626041,31222734.416723184,6.932839728240477e-09,7.133192871555037e-13,1,6552,0.6003545999992639
cantilever_3d,7,0.35,1e-05,4.5,2.1265139878536283e-06,6.643455542100328,3124106.2038843306,6.936909277853355e-10,6.476147627669947e-13,1,6552,0.6178132999921218
cantilever_3d,7,0.35,0.0001,4.5,9.754822789131964e-06,6.643558735207698,681053.7596448614,1.512243129930505e-10,6.792227760814408e-13,1,6552,0.49381589994300157
cantilever_3d,7,0.35,0.001,4.5,1.0638622763093444e-05,6.644591503558782,624572.5270576943,1.3868296001755415e-10,6.569016059558688e-13,1,6552,0.48069459991529584
cantilever_3d,7,0.35,0.01,4.5,1.594089811515013e-05,6.6550037406048235,417479.8491610676,9.269914817113092e-11,5.159583845732134e-13,1,6552,0.5124368999386206
