category,case_id,preset,trigger,probe_r50,probe_r100,probe_r100_over_r50,recommended_rho_min,attempted_rho_mins,n_floor_attempts,solve_converged,solve_iters,solve_final_rel_residual,probe_solve_time_s,selected_solve_time_s,recorded_policy_time_s,selected_cupy_pool_total_mb_after_solve,baseline_full_converged,baseline_full_final_rel_residual
cantilever random prospective,seed 23 p=0.1,cantilever_gpu_medium,high_r50,0.07273676840238384,0.0569403099249352,0.7828270512368414,0.001,0.001,1,1,135.0,8.739679003328003e-07,,,,,,
cantilever random prospective,seed 23 p=0.12,cantilever_gpu_medium,high_r50,0.10841952216916023,0.10647586060045218,0.9820727713070394,0.001,0.001,1,1,124.0,8.913585594577765e-07,,,,,,
cantilever random prospective,seed 23 p=0.15,cantilever_gpu_medium,high_r50,0.04159106335495006,0.04065150939780299,0.9774097154206266,0.001,0.001,1,1,105.0,8.410172086775291e-07,,,,,,
cantilever random prospective,seed 23 p=0.18,cantilever_gpu_medium,high_r50,0.35363802654426457,0.3536305466562922,0.9999788487452962,0.001,0.001,1,1,79.0,8.252404950571165e-07,,,,,,
cantilever random prospective,seed 23 p=0.2,cantilever_gpu_medium,high_r50,0.3536424313582019,0.35361510084645426,0.9999227171025754,0.001,0.001,1,1,66.0,6.371875531952595e-07,,,,,,
cantilever random prospective,seed 31 p=0.1,cantilever_gpu_medium,high_r50,0.08467061326462617,0.06623939181762513,0.7823185549702252,0.001,0.001,1,1,130.0,8.442684904707135e-07,,,,,,
cantilever random prospective,seed 31 p=0.12,cantilever_gpu_medium,high_r50,0.14250906866095397,0.07826858835994119,0.5492182995466167,0.001,0.001,1,1,125.0,6.123408736583911e-07,,,,,,
cantilever random prospective,seed 31 p=0.15,cantilever_gpu_medium,high_r50,0.13178422430650727,0.13170268602999508,0.9993812743752807,0.001,0.001,1,1,102.0,9.15800013330613e-07,,,,,,
cantilever random prospective,seed 31 p=0.18,cantilever_gpu_medium,high_r50,0.4434456628881023,0.4433684856944426,0.9998259602018497,0.001,0.001,1,1,83.0,5.336844575888102e-07,,,,,,
cantilever random prospective,seed 31 p=0.2,cantilever_gpu_medium,high_r50,0.39516018311322826,0.39512621679605553,0.9999140441810075,0.001,0.001,1,1,71.0,5.155979001947712e-07,,,,,,
cantilever random prospective,seed 23 p=0.35,cantilever_gpu_medium,keep,0.00019215750580727682,5.509979662742406e-07,0.0028674287999286407,1e-12,1e-12,1,1,80.0,9.983302067483779e-07,,,,,1,9.983302067483779e-07
cantilever random prospective,seed 31 p=0.35,cantilever_gpu_medium,keep,9.952108312048399e-05,6.422444243581049e-07,0.006453350428075421,1e-12,1e-12,1,1,83.0,6.229022830503174e-07,,,,,1,6.229022830503174e-07
bridge random geometry transfer,seed 23 p=0.1,bridge_gpu_medium,high_r50,0.6243634711561383,0.5265243538913958,0.843297819644104,0.01,1e-03;1e-02,2,1,178.0,5.18669409108972e-07,,,,,0,0.4282598297872943
bridge random geometry transfer,seed 23 p=0.2,bridge_gpu_medium,high_r50,0.354746215792371,0.35445562738251235,0.9991808555048021,0.01,1e-03;1e-02,2,1,165.0,8.213026539107537e-07,,,,,0,0.35416117363030414
bridge random geometry transfer,seed 23 p=0.35,bridge_gpu_medium,high_r50,0.10855681045503959,0.09019113920608822,0.8308197231295977,0.001,1e-03,1,1,140.0,8.90842935161571e-07,,,,,0,0.0005238123225688594
optimized SIMP density,B500_MF,bridge_gpu_500k,high_r50,0.07855876355036347,0.041016494290937525,0.5221122690486611,0.01,1e-03;1e-02,2,1,263.0,7.690719149934285e-07,,,,,,
optimized SIMP density,Brk500_MF,bracket_gpu_500k,keep,7.662385325192108e-07,7.662385325192108e-07,1.0,1e-12,1e-12,1,1,35.0,7.662385324577877e-07,,,,,1,7.662385324577877e-07
optimized SIMP density,C512_MF,cantilever_gpu_xlarge,keep,6.446588257309602e-07,6.446588257309602e-07,1.0,1e-12,1e-12,1,1,35.0,6.563917557438588e-07,,,,,1,6.563917557438588e-07
optimized SIMP density,C64_MF,cantilever_gpu_medium,keep,2.5212708639197136e-07,2.5212708639197136e-07,1.0,1e-12,1e-12,1,1,17.0,2.5212708139249e-07,,,,,1,2.5212708139249e-07
