case_id,case_type,preset,rho_min,reference_floor,solve_converged,solve_iters,solve_time_s,setup_time_s,final_rel_residual,compliance,relative_compliance_change,iteration_ratio_vs_reference,solve_time_ratio_vs_reference
Brk500_MF,density,bracket_gpu_500k,1e-12,1e-12,1,35.0,18.863269199995557,0.32535749999806285,7.6623853241617e-07,0.820443343683984,0.0,1.0,1.0
Brk500_MF,density,bracket_gpu_500k,0.001,1e-12,1,12.0,5.4978465999956825,0.14064409999991767,9.234124964451634e-07,0.8203712416411673,-8.788180606470373e-05,0.34285714285714286,0.2914577818778612
Brk500_MF,density,bracket_gpu_500k,0.01,1e-12,1,4.0,1.367663699995319,0.14098189999640454,2.425612577715601e-07,0.8197690358106778,-0.0008218823133823396,0.11428571428571428,0.07250406520178597
C512_MF,density,cantilever_gpu_xlarge,1e-12,1e-12,1,35.0,18.346036599999934,0.3759362999990117,6.572376749103114e-07,1.8253599122666988,0.0,1.0,1.0
C512_MF,density,cantilever_gpu_xlarge,0.001,1e-12,1,26.0,11.572794200001226,0.18179889999737497,6.725489426606029e-07,1.8230283463825474,-0.0012773184446984499,0.7428571428571429,0.6308062309219021
C512_MF,density,cantilever_gpu_xlarge,0.01,1e-12,1,14.0,4.560501699997985,0.1404162000035285,6.197477715375857e-07,1.8031974466431262,-0.012141422343417006,0.4,0.24858239408494376
C64_MF,density,cantilever_gpu_medium,1e-12,1e-12,1,8.0,1.4584231000044383,0.025592400001187343,1.5017405916675152e-07,2.8647955096672315,0.0,1.0,1.0
C64_MF,density,cantilever_gpu_medium,0.001,1e-12,1,12.0,1.8696419999978389,0.020562199999403674,1.7971389637630798e-07,2.8598899505647872,-0.0017123592542261762,1.5,1.2819613183527805
C64_MF,density,cantilever_gpu_medium,0.01,1e-12,1,11.0,1.3484147999988636,0.021383999999670777,2.2135864960279956e-07,2.8181965279644534,-0.016266076076121374,1.375,0.9245703801556353
bridge_s23_p035,random,bridge_gpu_medium,0.01,0.01,1,53.0,7.237057999998797,0.0626537999996799,4.2996999419771317e-07,8.931739874367574,0.0,1.0,1.0
cant_s23_p035,random,cantilever_gpu_medium,1e-12,1e-12,1,81.0,16.921670600000652,0.31968209999467945,4.947553787050048e-07,10.568886687415668,0.0,1.0,1.0
cant_s23_p035,random,cantilever_gpu_medium,0.001,1e-12,1,60.0,9.910906299999624,0.031902299997454975,7.869559289542659e-07,10.280595151622718,-0.027277379758098658,0.7407407407407407,0.5856931348137248
cant_s23_p035,random,cantilever_gpu_medium,0.01,1e-12,1,61.0,7.866414700001769,0.020603300006769132,7.298385999218069e-07,8.620586466076047,-0.1843429945804467,0.7530864197530864,0.4648722272138701
cant_s31_p035,random,cantilever_gpu_medium,1e-12,1e-12,1,83.0,15.585794399994484,0.025790599996980745,7.378388370530495e-07,13.663795929975581,0.0,1.0,1.0
cant_s31_p035,random,cantilever_gpu_medium,0.001,1e-12,1,55.0,8.649475300000631,0.02756010000302922,3.8470750738330546e-07,13.282241964931037,-0.02792444844755713,0.6626506024096386,0.554958898983275
cant_s31_p035,random,cantilever_gpu_medium,0.01,1e-12,1,62.0,8.042063499997312,0.021331699994334485,6.234326121680979e-07,11.116298394994317,-0.18644142140564135,0.7469879518072289,0.5159867565043819
