labeled_cases,high_residual_threshold,plateau_residual_threshold,plateau_ratio_threshold,true_raise,true_keep,false_raise,false_keep,total,false_raise_rate,false_keep_rate,safe
16,0.003,3e-05,0.4,11,4,1,0,16,0.0625,0.0,1
16,0.003,3e-05,0.5,11,4,1,0,16,0.0625,0.0,1
16,0.003,3e-05,0.6,11,4,1,0,16,0.0625,0.0,1
16,0.003,3e-05,0.7,11,4,1,0,16,0.0625,0.0,1
16,0.003,3e-05,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,3e-05,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.003,5e-05,0.4,11,4,1,0,16,0.0625,0.0,1
16,0.003,5e-05,0.5,11,4,1,0,16,0.0625,0.0,1
16,0.003,5e-05,0.6,11,4,1,0,16,0.0625,0.0,1
16,0.003,5e-05,0.7,11,4,1,0,16,0.0625,0.0,1
16,0.003,5e-05,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,5e-05,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0001,0.4,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0001,0.5,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0001,0.6,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0001,0.7,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0001,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0001,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0002,0.4,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0002,0.5,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0002,0.6,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0002,0.7,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0002,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0002,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0005,0.4,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0005,0.5,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0005,0.6,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0005,0.7,11,4,1,0,16,0.0625,0.0,1
16,0.003,0.0005,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.0005,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.4,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.5,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.6,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.7,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.8,10,4,1,1,16,0.0625,0.0625,0
16,0.003,0.001,0.9,10,4,1,1,16,0.0625,0.0625,0
16,0.005,3e-05,0.4,11,5,0,0,16,0.0,0.0,1
16,0.005,3e-05,0.5,11,5,0,0,16,0.0,0.0,1
16,0.005,3e-05,0.6,11,5,0,0,16,0.0,0.0,1
16,0.005,3e-05,0.7,11,5,0,0,16,0.0,0.0,1
16,0.005,3e-05,0.8,10,5,0,1,16,0.0,0.0625,0
16,0.005,3e-05,0.9,10,5,0,1,16,0.0,0.0625,0
16,0.005,5e-05,0.4,11,5,0,0,16,0.0,0.0,1
16,0.005,5e-05,0.5,11,5,0,0,16,0.0,0.0,1
16,0.005,5e-05,0.6,11,5,0,0,16,0.0,0.0,1
16,0.005,5e-05,0.7,11,5,0,0,16,0.0,0.0,1
16,0.005,5e-05,0.8,10,5,0,1,16,0.0,0.0625,0
16,0.005,5e-05,0.9,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0001,0.4,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0001,0.5,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0001,0.6,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0001,0.7,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0001,0.8,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0001,0.9,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0002,0.4,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0002,0.5,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0002,0.6,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0002,0.7,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0002,0.8,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0002,0.9,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0005,0.4,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0005,0.5,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0005,0.6,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0005,0.7,11,5,0,0,16,0.0,0.0,1
16,0.005,0.0005,0.8,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.0005,0.9,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.001,0.4,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.001,0.5,10,5,0,1,16,0.0,0.0625,0
16,0.005,0.001,0.6,10,5,0,1,16,0.0,0.0625,0
