seed,solid_probability,phase,rho_min,iter,rel_residual
41,0.08,probe,1e-12,0,1.0
41,0.08,probe,1e-12,1,0.19824566139109098
41,0.08,probe,1e-12,2,0.19715278237397402
41,0.08,probe,1e-12,3,0.19715266496556455
41,0.08,probe,1e-12,4,0.19710899255211556
41,0.08,probe,1e-12,5,0.1970854587228962
41,0.08,probe,1e-12,6,0.1970694013673302
41,0.08,probe,1e-12,7,0.19705736485351813
41,0.08,probe,1e-12,8,0.19703434020769942
41,0.08,probe,1e-12,9,0.19634782663833664
41,0.08,probe,1e-12,10,0.18533311778983552
41,0.08,probe,1e-12,11,0.14922831610205198
41,0.08,probe,1e-12,12,0.10281484293395805
41,0.08,probe,1e-12,13,0.09601286436570637
41,0.08,probe,1e-12,14,0.0947246322069658
41,0.08,probe,1e-12,15,0.09402915061430024
41,0.08,probe,1e-12,16,0.09395340043250187
41,0.08,probe,1e-12,17,0.09395217502465632
41,0.08,probe,1e-12,18,0.09393701320235737
41,0.08,probe,1e-12,19,0.09393362159199536
41,0.08,probe,1e-12,20,0.09393347721459257
41,0.08,probe,1e-12,21,0.0939272745990061
41,0.08,probe,1e-12,22,0.09392568805872886
41,0.08,probe,1e-12,23,0.09392562823433627
41,0.08,probe,1e-12,24,0.09391061961008763
41,0.08,probe,1e-12,25,0.09390876219773568
41,0.08,probe,1e-12,26,0.09390851682724832
41,0.08,probe,1e-12,27,0.09390831292846419
41,0.08,probe,1e-12,28,0.09390787652100292
41,0.08,probe,1e-12,29,0.09390784484379854
41,0.08,probe,1e-12,30,0.09390619248590354
41,0.08,probe,1e-12,31,0.09389856239910821
41,0.08,probe,1e-12,32,0.09389462872123026
41,0.08,probe,1e-12,33,0.09386344586430853
41,0.08,probe,1e-12,34,0.09369393947482471
41,0.08,probe,1e-12,35,0.09183555716010956
41,0.08,probe,1e-12,36,0.07871436326618082
41,0.08,probe,1e-12,37,0.06530299379253242
41,0.08,probe,1e-12,38,0.062040237674480796
41,0.08,probe,1e-12,39,0.06105602614705208
41,0.08,probe,1e-12,40,0.06061282943260273
41,0.08,probe,1e-12,41,0.06059317436250541
41,0.08,probe,1e-12,42,0.060592195596284315
41,0.08,probe,1e-12,43,0.060589454381740716
41,0.08,probe,1e-12,44,0.060588955406264904
41,0.08,probe,1e-12,45,0.06058762479373409
41,0.08,probe,1e-12,46,0.06058701650744694
41,0.08,probe,1e-12,47,0.06058525540252919
41,0.08,probe,1e-12,48,0.06058525417086341
41,0.08,probe,1e-12,49,0.06058130053734969
41,0.08,probe,1e-12,50,0.060580171961613784
41,0.08,probe,1e-12,51,0.06057945738468969
41,0.08,probe,1e-12,52,0.06057776286987328
41,0.08,probe,1e-12,53,0.06056561348084424
41,0.08,probe,1e-12,54,0.06038263030122937
41,0.08,probe,1e-12,55,0.05857405062700297
41,0.08,probe,1e-12,56,0.050457080507512256
41,0.08,probe,1e-12,57,0.044549107406962045
41,0.08,probe,1e-12,58,0.0439035690411559
41,0.08,probe,1e-12,59,0.04385367272454718
41,0.08,probe,1e-12,60,0.04383494141681925
41,0.08,probe,1e-12,61,0.04383338161883808
41,0.08,probe,1e-12,62,0.04383127317557599
41,0.08,probe,1e-12,63,0.043830459281936136
41,0.08,probe,1e-12,64,0.04383028279300457
41,0.08,probe,1e-12,65,0.04383026501137649
41,0.08,probe,1e-12,66,0.04382960285326399
41,0.08,probe,1e-12,67,0.043827237936459054
41,0.08,probe,1e-12,68,0.04382699345517442
41,0.08,probe,1e-12,69,0.043810528942804704
41,0.08,probe,1e-12,70,0.043753380996525565
41,0.08,probe,1e-12,71,0.04243292008018375
41,0.08,probe,1e-12,72,0.036731155353197424
41,0.08,probe,1e-12,73,0.034114173976656156
41,0.08,probe,1e-12,74,0.03393981013790978
41,0.08,probe,1e-12,75,0.03392993725003333
41,0.08,probe,1e-12,76,0.03391895882663993
41,0.08,probe,1e-12,77,0.033917591512923194
41,0.08,probe,1e-12,78,0.03391275771641335
41,0.08,probe,1e-12,79,0.03391100532968039
41,0.08,probe,1e-12,80,0.03391062758690601
41,0.08,probe,1e-12,81,0.03391020679118934
41,0.08,probe,1e-12,82,0.03391020654551231
41,0.08,probe,1e-12,83,0.033909563671220805
41,0.08,probe,1e-12,84,0.03390173304207144
41,0.08,probe,1e-12,85,0.03308914998620776
41,0.08,probe,1e-12,86,0.029071924136112502
41,0.08,probe,1e-12,87,0.028056077455949267
41,0.08,probe,1e-12,88,0.02802419711267833
41,0.08,probe,1e-12,89,0.02802141258605021
41,0.08,probe,1e-12,90,0.02801746037139881
41,0.08,probe,1e-12,91,0.02801719761956446
41,0.08,probe,1e-12,92,0.02801715930432703
41,0.08,probe,1e-12,93,0.028013574808507007
41,0.08,probe,1e-12,94,0.028010177324891465
41,0.08,probe,1e-12,95,0.028005816291338664
41,0.08,probe,1e-12,96,0.0278319231695161
41,0.08,probe,1e-12,97,0.025199353311660753
41,0.08,probe,1e-12,98,0.023592267090462832
41,0.08,probe,1e-12,99,0.023564690602062028
41,0.08,probe,1e-12,100,0.023559352570057104
41,0.08,recommended_solve,0.001,0,1.0
41,0.08,recommended_solve,0.001,1,0.05365148544789258
41,0.08,recommended_solve,0.001,2,0.02870326924761254
41,0.08,recommended_solve,0.001,3,0.01955184424327514
41,0.08,recommended_solve,0.001,4,0.015786873903520373
41,0.08,recommended_solve,0.001,5,0.014549053122375746
41,0.08,recommended_solve,0.001,6,0.014091708530933863
41,0.08,recommended_solve,0.001,7,0.01368020545076817
41,0.08,recommended_solve,0.001,8,0.013232340242106993
41,0.08,recommended_solve,0.001,9,0.012809193922379987
41,0.08,recommended_solve,0.001,10,0.01249787205354226
41,0.08,recommended_solve,0.001,11,0.0122710161663316
41,0.08,recommended_solve,0.001,12,0.011964348798006801
41,0.08,recommended_solve,0.001,13,0.011663222317747147
41,0.08,recommended_solve,0.001,14,0.011319047581442556
41,0.08,recommended_solve,0.001,15,0.0111084150237942
41,0.08,recommended_solve,0.001,16,0.010941127125916647
41,0.08,recommended_solve,0.001,17,0.010739255883027592
41,0.08,recommended_solve,0.001,18,0.010447247348560973
41,0.08,recommended_solve,0.001,19,0.010133044608301063
41,0.08,recommended_solve,0.001,20,0.009950190635644696
41,0.08,recommended_solve,0.001,21,0.009854693857545838
41,0.08,recommended_solve,0.001,22,0.009797886347918925
41,0.08,recommended_solve,0.001,23,0.009744399006621855
41,0.08,recommended_solve,0.001,24,0.009658771408348638
41,0.08,recommended_solve,0.001,25,0.009550444892999815
41,0.08,recommended_solve,0.001,26,0.009447886841571256
41,0.08,recommended_solve,0.001,27,0.009343939366754962
41,0.08,recommended_solve,0.001,28,0.009154175755941752
41,0.08,recommended_solve,0.001,29,0.008903651299372583
41,0.08,recommended_solve,0.001,30,0.008502795307717383
41,0.08,recommended_solve,0.001,31,0.007714761493381599
41,0.08,recommended_solve,0.001,32,0.006389686257425247
41,0.08,recommended_solve,0.001,33,0.004862498879941029
41,0.08,recommended_solve,0.001,34,0.0036150294752103065
41,0.08,recommended_solve,0.001,35,0.002702964551902705
41,0.08,recommended_solve,0.001,36,0.0020757500190042967
41,0.08,recommended_solve,0.001,37,0.0016213155419295775
41,0.08,recommended_solve,0.001,38,0.0013604308922614112
41,0.08,recommended_solve,0.001,39,0.0012244021000955326
41,0.08,recommended_solve,0.001,40,0.0011132521837703643
41,0.08,recommended_solve,0.001,41,0.0010116817440802507
41,0.08,recommended_solve,0.001,42,0.0009367392614512246
41,0.08,recommended_solve,0.001,43,0.0008688892580985615
41,0.08,recommended_solve,0.001,44,0.0007838886670054927
41,0.08,recommended_solve,0.001,45,0.0006760229851928212
41,0.08,recommended_solve,0.001,46,0.0005772134511867877
41,0.08,recommended_solve,0.001,47,0.0004902548142367745
41,0.08,recommended_solve,0.001,48,0.0004179554307879542
41,0.08,recommended_solve,0.001,49,0.0003644623864447234
41,0.08,recommended_solve,0.001,50,0.0003261592216826183
41,0.08,recommended_solve,0.001,51,0.00030523228483231096
41,0.08,recommended_solve,0.001,52,0.0002906851992070086
41,0.08,recommended_solve,0.001,53,0.0002744973372402309
41,0.08,recommended_solve,0.001,54,0.0002561546141190374
41,0.08,recommended_solve,0.001,55,0.0002375565300284874
41,0.08,recommended_solve,0.001,56,0.000222110178957334
41,0.08,recommended_solve,0.001,57,0.00020847144574926354
41,0.08,recommended_solve,0.001,58,0.0001968069203850661
41,0.08,recommended_solve,0.001,59,0.00018497892549764491
41,0.08,recommended_solve,0.001,60,0.00016974434042042833
41,0.08,recommended_solve,0.001,61,0.000155477704890709
41,0.08,recommended_solve,0.001,62,0.0001445335139537739
41,0.08,recommended_solve,0.001,63,0.0001354228045864362
41,0.08,recommended_solve,0.001,64,0.00012950342662035186
41,0.08,recommended_solve,0.001,65,0.00012618607738568375
41,0.08,recommended_solve,0.001,66,0.00012390651951897956
41,0.08,recommended_solve,0.001,67,0.00012140282036211122
41,0.08,recommended_solve,0.001,68,0.00011822713261080089
41,0.08,recommended_solve,0.001,69,0.00011487751954347101
41,0.08,recommended_solve,0.001,70,0.00011185315246149436
41,0.08,recommended_solve,0.001,71,0.00010865267911817873
41,0.08,recommended_solve,0.001,72,0.00010596533056491883
41,0.08,recommended_solve,0.001,73,0.0001034271249680261
41,0.08,recommended_solve,0.001,74,0.00010081608733981552
41,0.08,recommended_solve,0.001,75,9.782307408722213e-05
41,0.08,recommended_solve,0.001,76,9.349216765133381e-05
41,0.08,recommended_solve,0.001,77,8.792972236268474e-05
41,0.08,recommended_solve,0.001,78,8.181804351618678e-05
41,0.08,recommended_solve,0.001,79,7.517915184435028e-05
41,0.08,recommended_solve,0.001,80,6.796410772185021e-05
41,0.08,recommended_solve,0.001,81,6.040672291778828e-05
41,0.08,recommended_solve,0.001,82,5.315201956594725e-05
41,0.08,recommended_solve,0.001,83,4.6705890506794004e-05
41,0.08,recommended_solve,0.001,84,4.082557550788494e-05
41,0.08,recommended_solve,0.001,85,3.5894933317875207e-05
41,0.08,recommended_solve,0.001,86,3.2374381571682805e-05
41,0.08,recommended_solve,0.001,87,3.031737483699418e-05
41,0.08,recommended_solve,0.001,88,2.8880007929712427e-05
41,0.08,recommended_solve,0.001,89,2.7924589355468368e-05
41,0.08,recommended_solve,0.001,90,2.738165177246408e-05
41,0.08,recommended_solve,0.001,91,2.708653976066962e-05
41,0.08,recommended_solve,0.001,92,2.6899487761587452e-05
41,0.08,recommended_solve,0.001,93,2.6784894368164946e-05
41,0.08,recommended_solve,0.001,94,2.6703847084903576e-05
41,0.08,recommended_solve,0.001,95,2.6629836884286743e-05
41,0.08,recommended_solve,0.001,96,2.650841872278644e-05
41,0.08,recommended_solve,0.001,97,2.631792141243553e-05
41,0.08,recommended_solve,0.001,98,2.6066541561932276e-05
41,0.08,recommended_solve,0.001,99,2.5679509863208242e-05
41,0.08,recommended_solve,0.001,100,2.5320122579054672e-05
41,0.08,recommended_solve,0.001,101,2.4961079044511012e-05
41,0.08,recommended_solve,0.001,102,2.4681675332851815e-05
41,0.08,recommended_solve,0.001,103,2.447813437987559e-05
41,0.08,recommended_solve,0.001,104,2.4354542676374176e-05
41,0.08,recommended_solve,0.001,105,2.4261711741985997e-05
41,0.08,recommended_solve,0.001,106,2.4205986337717213e-05
41,0.08,recommended_solve,0.001,107,2.416680762487866e-05
41,0.08,recommended_solve,0.001,108,2.4126934547967156e-05
41,0.08,recommended_solve,0.001,109,2.4040915652546183e-05
41,0.08,recommended_solve,0.001,110,2.391959775669684e-05
41,0.08,recommended_solve,0.001,111,2.3640320006897145e-05
41,0.08,recommended_solve,0.001,112,2.3083212578568947e-05
41,0.08,recommended_solve,0.001,113,2.2051892939646364e-05
41,0.08,recommended_solve,0.001,114,2.0421309016224572e-05
41,0.08,recommended_solve,0.001,115,1.781875541371435e-05
41,0.08,recommended_solve,0.001,116,1.4347298294624756e-05
41,0.08,recommended_solve,0.001,117,1.0782262362913665e-05
41,0.08,recommended_solve,0.001,118,7.787432264009934e-06
41,0.08,recommended_solve,0.001,119,5.469968012661254e-06
41,0.08,recommended_solve,0.001,120,3.89559941941697e-06
41,0.08,recommended_solve,0.001,121,2.808927512588063e-06
41,0.08,recommended_solve,0.001,122,2.021502033238565e-06
