label,artifact_id,preset,n_elem,rho_min,reference_rho_min,penal,solid_threshold,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_linf_solid,pearson_dc_solid
Medium cantilever,C64_MF,cantilever_gpu_medium,64000,1e-12,1e-12,4.5,0.5,19200,0.3,stored_density_derivative,4.733208699966781,7.373407899984159,1,1,17,2.5212708027994404e-07,2.864795833031229,2.864795833031229,0.0,0.0,0.0,0.0,1.0
Medium cantilever,C64_MF,cantilever_gpu_medium,64000,0.001,1e-12,4.5,0.5,19200,0.3,stored_density_derivative,0.04315479996148497,7.652870299993083,1,1,22,8.923524892754336e-07,2.859890288433188,2.864795833031229,-0.0017123539979637173,0.0010999108741642505,0.0010999108741642503,0.0010094849453318904,0.9999999496547171
Medium cantilever,C64_MF,cantilever_gpu_medium,64000,0.01,1e-12,4.5,0.5,19200,0.3,stored_density_derivative,0.043329000007361174,4.869631199981086,1,1,18,4.5664846897252925e-07,2.81819701645821,2.864795833031229,-0.01626601659906524,0.010817865116144944,0.010817865116144942,0.010075029954133478,0.9999962259420867
216k cantilever,C216_MF,cantilever_gpu_large,216000,1e-12,1e-12,4.5,0.5,64800,0.3,stored_density_derivative,0.3291241000406444,26.185799999977462,1,1,27,4.312369108931027e-07,2.1721909958453547,2.1721909958453547,0.0,0.0,0.0,0.0,0.9999999999999999
216k cantilever,C216_MF,cantilever_gpu_large,216000,0.001,1e-12,4.5,0.5,64800,0.3,stored_density_derivative,0.1440747999586165,21.122005600016564,1,1,23,9.478534132752605e-07,2.169068937972099,2.1721909958453547,-0.001437285155507606,0.0010156806716932747,0.0010156806716018043,0.00100305987755177,0.9999999924648214
216k cantilever,C216_MF,cantilever_gpu_large,216000,0.01,1e-12,4.5,0.5,64800,0.3,stored_density_derivative,0.14392119995318353,19.46238030004315,1,1,27,9.537532637743205e-07,2.142475389143808,2.1721909958453547,-0.013680015596410411,0.010125456394959988,0.010125456394950817,0.010023716935098018,0.9999994681419991
Large cantilever,C512_MF,cantilever_gpu_xlarge,512000,1e-12,1e-12,4.5,0.5,153596,0.2999921875,stored_density_derivative,1.1978139999555424,106.44554190000053,1,1,35,6.523649276563096e-07,1.8253598751394082,1.8253598751394082,0.0,0.0,0.0,0.0,1.0000000000000002
Large cantilever,C512_MF,cantilever_gpu_xlarge,512000,0.001,1e-12,4.5,0.5,153596,0.2999921875,stored_density_derivative,0.3896178000140935,71.51547230000142,1,1,26,6.725460782603387e-07,1.8230283463906245,1.8253598751394082,-0.001277298126543766,0.0010043494236256633,0.001004348064045448,0.001000877330831471,0.9999999979143537
Large cantilever,C512_MF,cantilever_gpu_xlarge,512000,0.01,1e-12,4.5,0.5,153596,0.2999921875,stored_density_derivative,0.4059108999790624,28.17320880002808,1,1,14,6.19742857516495e-07,1.8031974466221017,1.8253598751394082,-0.012141402262177988,0.010034615371020269,0.010034615234955606,0.010008305569869333,0.9999998549755131
Large bracket,Brk500_MF,bracket_gpu_500k,512000,1e-12,1e-12,4.5,0.5,153591,0.299982421875,stored_density_derivative,0.8994024998974055,110.34019360004459,1,1,35,7.662385329631136e-07,0.8204433436839833,0.8204433436839833,0.0,0.0,0.0,0.0,1.0
