preset,density_path,density_name,n_elem,density_min,density_max,density_mean,density_grayness,baseline_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s,source_dir
cantilever_gpu_medium,experiments\paper2\runs\C64_MF\rho_best.npy,C64_MF,64000,7.549516567451255e-15,1.0,0.3000000000000549,1.0269837902290698e-08,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19200,0.3,1,19200,1.0,2.521270978132539e-07,2.521270978132539e-07,1.0,0.3272761999978684,3.2086684000023524,3283.615744,991.028736,keep,0,1,1,17,2.52127094627001e-07,0.0292789999948581,3.828500499999791,3573.02272,991.028736,1888.60416,0.0,0.0,7.39372409999487,optimized_density_C64_MF_strict_true_residual
cantilever_gpu_medium,experiments\paper2\runs\C64_MF\rho_final.npy,C64_MF,64000,7.549516567451255e-15,1.0,0.3000000000000549,1.0269837902290698e-08,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19200,0.3,1,19200,1.0,2.521270889794807e-07,2.521270889794807e-07,1.0,0.0305137999966973,4.560752199999115,3573.02272,991.028736,keep,0,1,1,17,2.521270787852122e-07,0.033977799997956,4.038805600001069,3573.02272,991.028736,1888.60416,0.0,0.0,8.664049399994838,optimized_density_C64_MF_strict_true_residual
cantilever_gpu_large,experiments\paper2\runs\C216_MF\rho_best.npy,C216_MF,216000,2.69745337178058e-12,1.0,0.2999992965200491,9.271530706871852e-06,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,64800,0.3,1,64800,1.0,4.31236825399763e-07,4.31236825399763e-07,1.0,0.4098902000041562,8.306486000001314,7161.249792,3368.68608,keep,0,1,1,27,4.312373762954437e-07,0.0686038999992888,8.252459499999532,8144.81408,3368.68608,6447.869952,0.0,0.0,17.03743960000429,optimized_density_C216_MF_strict_true_residual
cantilever_gpu_large,experiments\paper2\runs\C216_MF\rho_final.npy,C216_MF,216000,2.69745337178058e-12,1.0,0.2999992965200491,9.271530706871852e-06,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,64800,0.3,1,64800,1.0,4.312371037381214e-07,4.312371037381214e-07,1.0,0.0657761999973445,7.079617600000347,9128.378368,3368.68608,keep,0,1,1,27,4.3123665861237707e-07,0.0486861000026692,7.088003800003207,9128.378368,3368.68608,7430.756352,0.0,0.0,14.282083700003568,optimized_density_C216_MF_strict_true_residual
cantilever_gpu_xlarge,experiments\paper2\runs\C512_MF\rho_best.npy,C512_MF,512000,3.9055980671777055e-12,1.0,0.2999998982139999,3.084230422783515e-05,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,153596,0.2999921875,1,153596,1.0,6.559667254374587e-07,6.559667254374587e-07,1.0,0.648157399999036,18.5291231999945,14690.025472,8093.323264,keep,0,1,1,35,6.530485608447765e-07,0.1806729999952949,18.84047050000663,17028.349952,8093.323264,15325.705216,0.0,0.0,38.19842409999546,optimized_density_C512_MF_strict_true_residual
cantilever_gpu_xlarge,experiments\paper2\runs\C512_MF\rho_final.npy,C512_MF,512000,3.9055980671777055e-12,1.0,0.2999998982139999,3.084230422783515e-05,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,153596,0.2999921875,1,153596,1.0,6.595882549562265e-07,6.595882549562265e-07,1.0,0.1419495000009192,19.089939599994977,17028.349952,8093.323264,keep,0,1,1,35,6.583701807700585e-07,0.1415645999950356,18.78899190000084,17028.349952,8093.323264,15325.705216,0.0,0.0,38.16244559999177,optimized_density_C512_MF_strict_true_residual
bridge_gpu_500k,experiments\paper2\runs\B500_MF\rho_best.npy,B500_MF,514500,3.6593630812715405e-09,1.0,0.3000001402043609,0.0009429434222344,1e-12,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,154325,0.2999514091350826,1,154325,1.0,0.0785587635505538,0.041014694724893,0.5220893617871089,0.6347688999958336,54.38152779999655,14526.447616,7965.48352,high_r50,1,1,1,263,7.548066642924718e-07,0.135237499998766,91.26670179999928,18945.14688,7965.48352,17196.32384,0.1773852999976952,141.10937950000516,287.7050007999933,optimized_density_B500_MF_strict_true_residual
bridge_gpu_500k,experiments\paper2\runs\B500_MF\rho_final.npy,B500_MF,514500,3.6593630812715405e-09,1.0,0.3000001402043609,0.0009429434222344,1e-12,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,154325,0.2999514091350826,1,154325,1.0,0.0785587635535926,0.0409967105104056,0.5218604348633595,0.1357493999967118,53.596873499998765,18945.14688,7965.48352,high_r50,1,1,1,262,9.969350708389432e-07,0.1362684999985504,89.1571008999963,18945.14688,7965.48352,17196.32384,0.1351358000028995,139.2176152000029,282.37874329999613,optimized_density_B500_MF_strict_true_residual
bracket_gpu_500k,experiments\paper2\runs\Brk500_MF\rho_best.npy,Brk500_MF,512000,1.637023849809835e-13,1.0,0.2999828179564874,1.5845845651073162e-06,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,153591,0.299982421875,1,153591,1.0,7.662385328903492e-07,7.662385328903492e-07,1.0,0.6349409000031301,19.76258499999676,14690.025472,8093.323264,keep,0,1,1,35,7.662385326940602e-07,0.1837798999986262,18.597933299999568,17028.349952,8093.323264,15325.705216,0.0,0.0,39.179239099998085,optimized_density_Brk500_MF_strict_true_residual
bracket_gpu_500k,experiments\paper2\runs\Brk500_MF\rho_final.npy,Brk500_MF,512000,1.637023849809835e-13,1.0,0.2999828179564874,1.5845845651073162e-06,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,153591,0.299982421875,1,153591,1.0,7.662385330516297e-07,7.662385330516297e-07,1.0,0.1404589000012492,18.71768349999911,17028.349952,8093.323264,keep,0,1,1,35,7.662385327101889e-07,0.1410744000022532,19.059161799996215,17028.349952,8093.323264,15325.705216,0.0,0.0,38.05837859999883,optimized_density_Brk500_MF_strict_true_residual
