preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,severity_jump_triggered,severity_jump_r50_threshold,severity_jump_rho_min,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s,source_dir,case_key
bridge_gpu_medium,41,0.1,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,4043,0.0998271604938271,2893,11,0.0027207519168933,0,0.5061429639450137,0.3963350243865354,0.7830495583646845,17.599601099999997,20.2640952,2673.344512,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,93,4.16607514852992e-07,0.0237999999999942,12.972954899999998,2849.50528,597.700096,1147.849216,0.0,0.0,50.86045119999999,bridge_s41,bridge_gpu_medium|41|100000
bridge_gpu_medium,41,0.15,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,6050,0.1493827160493827,3498,19,0.0031404958677685,0,0.5153759381070321,0.5142425304770581,0.9978008138405976,0.0196025999999989,19.4446869,3025.666048,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,88,7.896617146265615e-07,0.0179366999999928,12.105655100000009,3025.666048,597.700096,1322.01728,0.0,0.0,31.5878813,bridge_s41,bridge_gpu_medium|41|150000
bridge_gpu_medium,41,0.2,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,8054,0.1988641975308642,3613,54,0.0067047429848522,0,0.3448859002228661,0.3447502066822208,0.9996065552678216,0.0182757000000037,19.4108378,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,117,7.486144951569611e-07,0.0192118000000078,19.56472860000001,3025.666048,597.700096,1322.01728,0.0,0.0,39.01305390000002,bridge_s41,bridge_gpu_medium|41|200000
bridge_gpu_medium,41,0.25,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,10116,0.2497777777777777,3336,125,0.0123566627125345,0,0.2533724417287486,0.1901946580353836,0.750652504817391,0.0176107000000058,19.02592970000001,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,84,9.22177022741506e-07,0.0161146000000087,13.914897300000009,3025.666048,597.700096,1322.01728,0.0,0.0,32.97455230000003,bridge_s41,bridge_gpu_medium|41|250000
bridge_gpu_medium,41,0.3,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,12130,0.2995061728395061,2677,584,0.0481450948062654,0,0.1783046506180996,0.1757081600145396,0.9854378974717758,0.0199269999999955,19.085318099999995,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,65,6.009809294580422e-07,0.0205148999999948,10.670546000000002,3025.666048,597.700096,1322.01728,0.0,0.0,29.796305999999987,bridge_s41,bridge_gpu_medium|41|300000
bridge_gpu_medium,41,0.35,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,14110,0.3483950617283951,1924,5582,0.3956059532246633,0,0.171735691535033,0.1713218075514473,0.997589994369334,0.0208303,19.44024770000001,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,55,8.724497700605865e-07,0.0197244000000011,8.907355899999999,3025.666048,597.700096,1322.01728,0.0,0.0,28.38815830000001,bridge_s41,bridge_gpu_medium|41|350000
bridge_gpu_medium,43,0.1,1e-12,0.001,1e-03;1e-02,0.01,1e-02,1,4.5,100,300,300,1e-06,4070,0.1004938271604938,2926,10,0.0024570024570024,0,0.627339249139006,0.5270452433681836,0.8401279596191833,17.516391499999997,19.6425124,2673.344512,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,197,5.829123440337035e-07,0.0215018000000029,28.438086799999997,2849.50528,597.700096,1147.849216,0.0,0.0,65.6184925,bridge_s43,bridge_gpu_medium|43|100000
bridge_gpu_medium,43,0.15,1e-12,0.001,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,6076,0.1500246913580246,3547,14,0.0023041474654377,0,0.4988882658722115,0.4921854825959955,0.9865645601736144,0.0315677999999906,19.2039247,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,198,6.108054456360869e-07,0.0354371000000242,28.7404722,3059.22048,598.024192,1353.122304,0.0180790999999942,53.89955499999999,101.9290359,bridge_s43,bridge_gpu_medium|43|150000
bridge_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,8171,0.2017530864197531,3692,33,0.0040386733569942,0,0.3406966203509208,0.3405514180949276,0.999573807759397,0.0180638999999871,19.06803450000001,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,180,5.975630525328984e-07,0.0195110999999883,25.861455800000016,3059.22048,598.024192,1353.122304,0.0192900000000122,54.7885326,99.7748879,bridge_s43,bridge_gpu_medium|43|200000
bridge_gpu_medium,43,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,10229,0.2525679012345679,3350,102,0.009971649232574,0,0.250655070167796,0.2505702314163575,0.9996615318757298,0.0240173000000254,18.753300799999977,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,252,9.817919940679965e-07,0.0193783999999936,44.62999720000005,3059.22048,597.700096,1353.122304,0.0,0.0,63.42669370000005,bridge_s43,bridge_gpu_medium|43|250000
