density_name,density_path,phase,rho_min,iter,rel_residual
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,0,1.0
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,1,0.011188803757891596
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,2,0.007986299249183112
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,3,0.006827684122787367
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,4,0.005934569342633927
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,5,0.00536682294935224
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,6,0.004919532198379969
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,7,0.0046409343178470406
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,8,0.0044187390239374316
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,9,0.0042160449796867
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,10,0.004053980415073467
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,11,0.0039014767113185155
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,12,0.003765546624646069
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,13,0.0036125956384769307
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,14,0.0035062917981801916
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,15,0.0033536215226931555
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,16,0.0031454371530142073
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,17,0.0028327690132493102
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,18,0.002581339669373308
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,19,0.0023209340012930084
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,20,0.002204575460148936
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,21,0.002092489186027029
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,22,0.0020583920989345646
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,23,0.002018520592203689
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,24,0.001998071557017699
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,25,0.0019680188396420818
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,26,0.001947381685814255
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,27,0.0019143950616724481
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,28,0.0018678204045474447
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,29,0.0017504489797501989
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,30,0.0016398224355431963
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,31,0.0014476407328739835
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,32,0.0012350717710199483
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,33,0.0010030878110228725
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,34,0.0008102249876647878
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,35,0.0005923565217551179
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,36,0.00044073547294767266
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,37,0.0003294201674344055
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,38,0.0002468908395477919
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,39,0.00016872101115560944
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,40,0.0001234554667943466
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,41,9.04742670414592e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,42,5.135028041222875e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,43,2.5304631749233574e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,44,1.4380153238938231e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,45,9.009161292478186e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,46,5.252331575620183e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,47,3.892235514382865e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,48,2.4326420666034717e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,49,1.2936006517622682e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,probe,1e-12,50,6.54136872386058e-07
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,0,1.0
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,1,0.011188803757891594
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,2,0.007986317218927135
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,3,0.0068276970624722225
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,4,0.005934577195771202
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,5,0.00536682795398018
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,6,0.00491953588487183
